Age,Branch,Date_of_join,Mobile
25,CIVIL,22/8/2025,8650365988
26,EEE,27/4/2027,6324659810
25,ECE,27/8/2027,8522269073
27,INSTRUMENTATION,16/3/2025,7454087276
25,ECE,4/4/2022,7144301856
26,CIVIL,19/4/2027,699530452
28,ROBOTICS,24/6/2027,7237575654
27,CSE,4/3/2027,7461341025
29,EEE,26/7/2026,7154174640
29,EEE,9/9/2022,8856346037
27,ECE,5/2/2023,6736892618
28,EEE,30/6/2026,9124514007
25,MECH,28/1/2023,7458056766
29,CSE,2/4/2026,6859077983
29,INSTRUMENTATION,14/10/2027,9745590580
26,CSE,23/10/2024,8424653184
26,ECE,18/4/2027,9024110330
27,CIVIL,23/7/2027,6939228815
29,CIVIL,24/3/2024,8353122354
29,ROBOTICS,18/6/2024,6940163663
28,EEE,14/3/2023,9325813293
29,ROBOTICS,4/10/2026,9736265240
28,EEE,5/4/2022,6510697106
29,INSTRUMENTATION,29/5/2027,8614409397
26,EEE,28/7/2023,9634541270
27,ROBOTICS,7/7/2027,7266302469
25,EEE,11/5/2025,9248336033
25,MECH,13/11/2027,8355556995
27,ECE,2/3/2022,6610874906
27,ROBOTICS,29/8/2025,841972067
27,MECH,29/11/2026,9835810816
25,ECE,29/3/2027,7551050229
26,MECH,11/5/2023,6333763313
25,CSE,23/2/2025,9760796498
26,MECH,9/10/2026,826925522
28,EEE,22/10/2025,6938162771
28,EEE,6/3/2023,7536386374
27,MECH,8/7/2026,9633830612
25,CSE,23/10/2024,9724415236
29,ROBOTICS,30/7/2026,886945041
28,CSE,30/2/2024,835841492
25,CSE,18/5/2024,7756199502
26,INSTRUMENTATION,9/1/2024,8346372229
25,INSTRUMENTATION,6/5/2022,8842605595
26,EEE,23/4/2022,7462184319
25,CIVIL,18/5/2023,6940995870
29,INSTRUMENTATION,3/11/2026,9853541433
25,MECH,28/7/2023,6510393385
29,CIVIL,7/8/2024,9237126083
26,MECH,19/11/2022,858591026
26,ROBOTICS,25/7/2025,6330704425
25,ECE,28/5/2023,8624619197
28,MECH,24/7/2027,7549910353
26,ECE,18/7/2024,9858439017
28,CSE,19/6/2024,6538189284
27,CIVIL,6/6/2023,71258103
29,MECH,23/3/2025,9728448762
29,ROBOTICS,24/4/2023,6364205250
