Age,Branch,Date_of_join,Mobile
25,EEE,4/6/2027,69400498
35,ECE,3/10/2026,8851970683
25,ECE,2/3/2022,7260686163
19,CSE,10/3/2023,6613871778
42,CSE,18/11/2027,7521043889
33,ECE,21/5/2027,7811684767
33,EEE,28/1/2022,7711401187
35,EEE,5/9/2024,9366492808
20,EEE,14/11/2023,8166184800
25,MECH,12/3/2025,7146458569
28,ECE,19/1/2026,9527918802
24,INSTRUMENTATION,18/6/2024,7814506306
32,MECH,18/5/2022,684843291
35,CIVIL,6/11/2025,9346590640
20,ROBOTICS,2/1/2022,9736533302
20,INSTRUMENTATION,21/6/2025,9457243765
42,ROBOTICS,8/4/2025,877671036
23,INSTRUMENTATION,11/3/2023,8016641071
47,EEE,7/7/2026,9451972350
28,CSE,5/4/2026,9449377589
38,ECE,19/5/2022,9836585112
25,EEE,30/11/2024,6341307907
23,EEE,24/5/2023,796684109
48,ECE,4/7/2022,8832301798
49,EEE,1/8/2023,8513240398
35,MECH,10/8/2027,8635338627
45,EEE,8/11/2026,7825458743
24,MECH,14/1/2026,8258479347
44,MECH,4/5/2023,8032748025
37,ECE,9/6/2024,6514724754
36,INSTRUMENTATION,20/7/2022,977169551
30,CIVIL,2/3/2026,7039166379
18,ECE,2/3/2027,702904771
30,CSE,30/1/2026,948581252
45,ROBOTICS,6/5/2026,8262067975
43,MECH,1/9/2022,8237906231
43,ECE,27/8/2027,6826025936
34,CSE,12/7/2022,7766783917
38,CSE,9/8/2026,8638310444
46,MECH,7/11/2025,7436705506
34,CSE,5/4/2023,7014784058
42,ROBOTICS,5/9/2025,8625474599
25,EEE,29/2/2023,9862106589
33,MECH,17/10/2027,8722529385
23,CIVIL,9/3/2026,6363681472
28,CIVIL,14/5/2023,8448649705
48,EEE,19/1/2027,8532268973
25,ROBOTICS,27/6/2023,7257597781
36,CSE,8/9/2026,7547794371
35,ROBOTICS,23/1/2025,8429617120
38,CSE,22/9/2024,6640231183
27,MECH,10/1/2025,9450809073
24,ROBOTICS,22/4/2027,896138829
23,ROBOTICS,3/10/2022,6553779479
25,ECE,28/6/2026,6349123984
20,ROBOTICS,4/11/2024,898949726
47,MECH,27/2/2025,878199388
45,INSTRUMENTATION,27/5/2024,6313436115
39,CSE,23/3/2025,7938045439
39,CSE,27/11/2026,7131598162
31,MECH,26/7/2024,963679838
31,ROBOTICS,6/8/2022,7111639220
30,CIVIL,24/9/2024,7022526985
42,MECH,7/2/2023,6430725181
39,EEE,21/11/2023,7928137163
38,CSE,30/9/2027,9842260016
44,EEE,26/9/2024,8637355360
23,INSTRUMENTATION,5/2/2027,7349517471
35,CIVIL,14/5/2025,6957906558
27,CIVIL,12/9/2024,9765153711
26,CSE,27/11/2024,8041503314
36,CIVIL,20/5/2022,6553410187
23,EEE,16/9/2026,9244323882
49,CSE,22/11/2024,9652795727
37,ROBOTICS,15/3/2025,6720246516
49,CIVIL,19/5/2025,8742384708
24,INSTRUMENTATION,17/2/2023,9514281224
47,INSTRUMENTATION,4/3/2023,7256966014
25,CSE,15/5/2026,8645703276
29,EEE,11/2/2024,912432540
24,INSTRUMENTATION,17/5/2027,8745097469
26,CSE,9/3/2022,635672908
33,EEE,14/6/2025,9253017140
31,ROBOTICS,4/9/2027,8556373645
34,MECH,4/3/2026,677956224
36,CSE,12/6/2024,813245735
45,ECE,5/9/2022,6641930570
22,ECE,6/7/2024,8514448229
41,CSE,20/8/2023,9162300045
28,ECE,10/6/2025,7958352642
30,EEE,29/9/2025,7135273258
19,CSE,6/3/2023,7644751025
28,CSE,25/10/2023,7358448987
49,ROBOTICS,29/10/2022,8527066563
48,ROBOTICS,2/9/2026,9226664758
45,CIVIL,7/7/2024,9638698382
27,ROBOTICS,22/9/2024,7641921149
49,INSTRUMENTATION,9/6/2024,6415240449
22,MECH,17/11/2027,7734372078
22,MECH,14/1/2026,6739196445
30,CSE,16/11/2022,8866722087
35,INSTRUMENTATION,21/9/2025,9817996010
25,ROBOTICS,23/8/2022,7034796256
22,INSTRUMENTATION,6/2/2022,82792111
19,MECH,9/1/2023,85133784
44,CIVIL,8/9/2026,8839091354
31,EEE,26/2/2024,7223009095
41,ECE,1/9/2023,7755583400
