Name,Phone Number,Query
Eswara,6301189779,slow progress but learning newthings!!
Eswara1,62343242,"Even itis slow progress, iam on the way"
Eswara2,8932646424,Don't trust any word without knowing the actual meaning of that word
Eswar3,7653432,Hope iam doing well..!
Name,Phone Number,Query
Eswararaooo,67234234234,added __name__ == __main__ for better understanding
Name,Phone Number,Query
main test,78234234,testing __main__ with adding global queues in __main__ function
Name,Phone Number,Query
tanooj,873458723y78235,whatis tghasvdvasyujdv
