Age,Branch,Date_of_join,Mobile
28,ELECTRONICS,11/7/2024,7946433848
28,EEE,15/11/2022,843882358
28,CIVIL,6/7/2027,726670454
26,ECE,17/4/2023,7816599939
29,EEE,23/6/2022,7036358418
28,EEE,24/7/2025,7434255018
29,ROBOTICS,11/1/2023,9026455723
25,ECE,2/4/2026,9819560022
27,CIVIL,22/9/2027,6354429464
29,CSE,23/7/2024,7565626451
27,EEE,3/8/2022,633899670
27,ECE,30/10/2027,7747149785
28,CSE,25/1/2026,7365841634
27,CSE,21/3/2023,9735405826
28,ELECTRONICS,12/5/2022,8713176799
29,ELECTRONICS,1/9/2023,7947204486
25,MECH,28/2/2024,8320903190
28,ECE,3/7/2023,7928390207
25,ELECTRONICS,16/5/2022,8710966294
27,ROBOTICS,12/10/2023,6620687034
27,EEE,26/8/2023,7260871646
27,CIVIL,13/7/2025,7135756707
25,ECE,4/8/2022,6855069295
25,EEE,25/7/2022,9353160944
27,EEE,15/9/2026,9848916391
25,ECE,7/8/2025,8324814642
26,ECE,24/9/2026,7262887053
26,MECH,1/7/2025,9132982452
26,CSE,30/8/2023,872040538
28,ELECTRONICS,6/2/2027,9859111698
28,ECE,24/5/2027,8163585999
25,ROBOTICS,6/8/2026,9332200205
28,CSE,22/10/2022,8913400855
28,MECH,21/9/2024,7146434929
25,MECH,17/7/2023,9710265047
28,ECE,4/8/2026,782930923
28,CSE,16/6/2024,7561355898
26,ELECTRONICS,10/4/2024,7356137201
29,ELECTRONICS,29/6/2026,6511248127
29,ECE,7/10/2022,8857878178
26,ELECTRONICS,30/10/2026,9649154857
26,CIVIL,13/10/2025,663244511
29,CIVIL,8/1/2023,8414142237
28,CSE,12/5/2023,7947062474
27,ECE,8/10/2024,8028382169
27,ELECTRONICS,19/11/2025,9528236828
25,ELECTRONICS,13/10/2024,8957834108
27,MECH,2/10/2023,7533263850
28,CSE,25/6/2023,6357765704
25,ECE,14/3/2023,6850189649
28,CIVIL,7/4/2026,7452893980
28,ECE,20/5/2023,6446031844
26,CIVIL,19/11/2022,836848799
25,CSE,1/4/2026,6543408864
26,ELECTRONICS,3/6/2027,7132264146
26,ELECTRONICS,26/1/2025,6448207830
27,CIVIL,8/6/2026,6343335854
29,ELECTRONICS,19/1/2027,7028961775
26,CSE,15/4/2022,7957433640
26,ROBOTICS,19/1/2026,8638787712
28,CSE,13/10/2026,7680501
26,ROBOTICS,7/6/2027,631610563
29,EEE,24/7/2027,6437070224
28,CSE,16/4/2022,89659296
27,CIVIL,14/3/2022,9523682969
27,CSE,19/8/2025,8744074868
26,CIVIL,21/11/2025,686904518
27,EEE,5/10/2025,6915381065
29,CIVIL,16/3/2023,6318660100
28,CIVIL,11/2/2024,6339828838
28,MECH,16/2/2026,753776428
26,CSE,1/4/2026,8056606074
29,CIVIL,2/2/2025,9863238908
